player,next_year_signed,Actual_APY,Pred_APY,Actual_Years,Pred_Years,Actual_Guar,Pred_Guar,APY_Error,position
Skyy Moore,2026,2.5,2.84,1,2.0,1.0,0.26,0.34,WR
Bennett Skowronek,2025,2.43,1.13,2,1.1,1.08,0.08,-1.3,WR
Trent Sherfield,2023,2.37,2.99,1,1.4,0.75,1.29,0.62,WR
Nick Westbrook-Ikhine,2024,2.36,2.77,1,1.3,0.75,0.76,0.41,WR
Brandon Powell,2024,2.36,2.13,1,1.3,0.62,0.49,-0.23,WR
Chris Moore,2024,2.36,2.3,1,1.4,0.75,0.98,-0.06,WR
Treylon Burks,2026,2.35,1.77,1,1.1,0.4,0.02,-0.58,WR
Justin Watson,2023,2.28,2.48,2,1.4,1.3,0.28,0.2,WR
Marquise Goodwin,2023,2.28,2.6,1,1.1,0.4,0.76,0.32,WR
Tylan Wallace,2025,2.27,3.02,1,2.1,1.35,0.3,0.75,WR
Hunter Renfrow,2025,2.16,5.39,1,1.1,0.83,1.02,3.23,WR
Rondale Moore,2025,2.16,1.47,1,1.2,0.25,1.31,-0.69,WR
Robert Woods,2025,2.16,2.62,1,1.0,0.74,0.24,0.46,WR
Trent Sherfield,2024,2.11,1.86,1,1.1,1.0,0.34,-0.25,WR
Julio Jones,2023,2.1,3.2,1,1.1,0.0,0.76,1.1,WR
Michael Gallup,2024,2.06,5.53,1,1.4,0.83,2.46,3.47,WR
Tim Jones,2025,2.02,1.45,1,1.1,0.5,0.13,-0.57,WR
Steven Sims,2023,2.01,1.38,1,1.1,0.5,0.05,-0.63,WR
DeAndre Carter,2023,2.01,4.12,1,1.4,1.25,1.14,2.11,WR
Braxton Berrios,2025,1.94,1.56,1,1.4,0.3,0.27,-0.38,WR
John Metchie III,2026,1.9,2.64,1,1.2,1.0,0.55,0.74,WR
Kendrick Bourne,2025,1.9,2.31,1,1.0,1.25,0.39,0.41,WR
Simi Fehoko,2025,1.89,1.31,1,1.1,1.25,0.04,-0.58,WR
Gunner Olszewski,2023,1.88,2.11,1,1.3,0.0,0.68,0.23,WR
