player_id,player_name,season,pass_attempts,completions,pass_yards,pass_tds,interceptions,sacks,pass_epa_per_play,pass_total_epa,completion_pct,yards_per_attempt,pass_td_rate,int_rate,carries,rush_yards,rush_tds,explosive_runs,rush_fumbles,rush_epa_per_play,rush_total_epa,yards_per_carry,rush_td_rate,explosive_run_rate,fumble_rate,targets,receptions,rec_yards,rec_tds,explosive_recs,rec_fumbles,air_yards,yac,rec_epa_per_play,rec_total_epa,catch_rate,yards_per_rec,rec_td_rate,explosive_rec_rate,air_yards_per_target,yac_per_rec,games_played,player,position,curr_year_signed,curr_years,curr_value,curr_apy,curr_guaranteed,is_active,curr_apy_cap_pct,curr_inflated_value,curr_inflated_apy,curr_inflated_guaranteed,draft_round,draft_overall,year_end,next_year_signed,next_apy,next_years,next_value,next_guaranteed,next_apy_cap_pct,next_inflated_value,next_inflated_apy,next_inflated_guaranteed
00-0035146,T.McSorley,2022,78.0,45.0,412.0,0.0,5.0,3.0,-0.42913999434237127,-37.3351795077863,0.5769230769230769,5.282051282051282,0.0,0.0641025641025641,15.0,61.0,0.0,1,1.0,-0.4126795417674586,-6.190193126511879,4.066666666666666,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Trace McSorley,QB,2022,1,0.965,0.965,0.0,false,0.005,1.396052,1.396052,0.0,6,197,2022,2023,1.08,1,1.08,0.0,0.005,1.447046,1.447046,0.0
00-0030525,T.Austin,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,20.0,0.0,0,0.0,-22.0,42.0,-0.06143862298922613,-0.30719311494613066,1.0,4.0,0.0,0.0,-4.4,8.4,3,Tavon Austin,WR,2020,1,1.05,1.05,0.0,false,0.005,1.595661,1.595661,0.0,1,8,2020,2021,1.075,1,1.075,0.0,0.006,1.774192,1.774192,0.0
00-0035250,D.Singletary,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,870.0,7.0,20,2.0,-0.020319938273268178,-3.8201483953744173,4.627659574468085,0.03723404255319149,0.10638297872340426,0.010638297872340425,50.0,40.0,228.0,1.0,0,3.0,4.0,242.0,-0.04618733873347008,-2.309366936673504,0.8,5.7,0.02,0.0,0.08,6.05,17,Devin Singletary,RB,2019,4,3.898,0.9745,1.035824,false,0.005,6.238457,1.559614,1.657759,3,74,2022,2023,2.75,1,2.75,2.5,0.012,3.684609,3.684609,3.349644
00-0032063,M.Davis,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,1,1.0,-0.3746377572097117,-2.9971020576776937,2.25,0.0,0.125,0.125,2.0,2.0,4.0,0.0,0,0.0,-7.0,11.0,-0.5202088911319152,-1.0404177822638303,1.0,2.0,0.0,0.0,-3.5,5.5,5,Mike Davis,RB,2022,1,1.2725,1.2725,0.1525,false,0.006,1.840908,1.840908,0.22062,4,126,2022,,,,,,,,,
00-0033950,W.Gallman Jr,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,110.0,2.0,3,1.0,-0.28431629347775517,-8.2451725108549,3.793103448275862,0.06896551724137931,0.10344827586206896,0.034482758620689655,15.0,11.0,102.0,1.0,3,0.0,31.0,104.0,0.23683157982498718,3.5524736973748077,0.7333333333333333,9.272727272727273,0.06666666666666667,0.2727272727272727,2.066666666666667,9.454545454545455,9,Wayne Gallman,RB,2017,4,2.819648,0.704912,0.419648,false,0.004,5.085497,1.271374,0.756874,4,140,2020,2021,0.99,1,0.99,0.0,0.005,1.633907,1.633907,0.0
00-0031387,E.Ebron,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,0.7970268837525509,0.7970268837525509,1.0,1.0,0.0,0.0,85.0,61.0,711.0,1.0,9,0.0,676.0,283.0,0.38504840025925047,32.72911402203629,0.7176470588235294,11.655737704918034,0.011764705882352941,0.14754098360655737,7.952941176470588,4.639344262295082,13,Eric Ebron,TE,2014,4,12.249146,3.062287,12.249146,false,0.023,27.740171,6.935044,27.740171,1,10,2017,2018,6.5,2,13.0,6.0,0.037000000000000005,22.097065,11.048533,10.198646
00-0024334,B.Marshall,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,136.0,1.0,2,0.0,257.0,23.0,-0.10932101575483044,-2.5143833623611003,0.4782608695652174,12.363636363636363,0.043478260869565216,0.18181818181818182,11.173913043478262,2.090909090909091,6,Brandon Marshall,WR,2018,1,1.015,1.015,0.0,false,0.006,1.725271,1.725271,0.0,4,120,2018,,,,,,,,,
00-0034830,H.Hurst,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,26.0,221.0,3.0,1,3.0,205.0,89.0,0.08539707101392308,2.6473092014316153,0.8387096774193549,8.5,0.0967741935483871,0.038461538461538464,6.612903225806452,3.423076923076923,12,Hayden Hurst,TE,2018,4,11.036032,2.759008,10.40086,false,0.016,18.758763,4.689691,17.679114,1,25,2021,2022,3.5,1,3.5,2.0,0.017,5.063401,5.063401,2.893372
00-0036328,A.Gibson,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,1037.0,7.0,24,5.0,-0.09316317364980531,-24.129261975299574,4.003861003861004,0.02702702702702703,0.09266409266409266,0.019305019305019305,53.0,42.0,294.0,3.0,2,1.0,-9.0,333.0,0.024513274869161113,1.299203568065539,0.7924528301886793,7.0,0.05660377358490566,0.047619047619047616,-0.16981132075471697,7.928571428571429,16,Antonio Gibson,RB,2020,4,4.932638,1.23316,1.147372,false,0.006,7.496017,1.874005,1.743635,3,66,2023,2024,3.75,3,11.25,5.3,0.015,13.267424,4.422475,6.250431
00-0037005,T.Tremble,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,23.0,194.0,3.0,2,0.0,204.0,95.0,0.06579170084023644,2.1053344268875662,0.71875,8.434782608695652,0.09375,0.08695652173913043,6.375,4.130434782608695,13,Tommy Tremble,TE,2021,4,4.926434,1.231609,0.94286,false,0.006999999999999999,8.130641,2.032661,1.556106,3,83,2024,2025,5.25,2,10.5,6.0,0.019,11.327364,5.663682,6.472779
