player_name,player_name,team,season,week,pass_yards,pass_tds,rush_yards,rush_tds,rec_yards,rec_tds,completions,attempts,passing_air_yards,fantasy_points,fantasy_points_ppr,player_norm
A.Arcuri,A.J. Arcuri,LA,2024,1,0,0,0,0,0,0,0,0,0,0.0,0.0,aarcuri
A.Armstead,Arik Armstead,JAX,2024,1,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,2,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,3,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,4,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,5,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,6,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,7,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,8,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,9,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,10,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,11,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,13,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,14,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,16,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,17,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Armstead,Arik Armstead,JAX,2024,18,0,0,0,0,0,0,0,0,0,0.0,0.0,aarmstead
A.Austin,Alex Austin,NE,2024,13,0,0,0,0,0,0,0,0,0,0.0,0.0,aaustin
A.Austin,Alex Austin,NE,2024,15,0,0,0,0,0,0,0,0,0,0.0,0.0,aaustin
A.Austin,Alex Austin,NE,2024,16,0,0,0,0,0,0,0,0,0,0.0,0.0,aaustin
A.Austin,Alex Austin,NE,2024,17,0,0,0,0,0,0,0,0,0,0.0,0.0,aaustin
A.Austin,Alex Austin,NE,2024,18,0,0,0,0,0,0,0,0,0,0.0,0.0,aaustin
A.Bachman,Alex Bachman,LV,2024,4,0,0,0,0,0,0,0,0,0,0.0,0.0,abachman
A.Bachman,Alex Bachman,LV,2024,5,0,0,0,0,0,0,0,0,0,0.0,0.0,abachman
